SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021
INDIQUBE,Indiqube Spaces Limited,EQ,30-JUL-2025
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997
INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005
INDOFARM,Indo Farm Equipment Limited,EQ,07-JAN-2025
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018
INDOTHAI,Indo Thai Securities Limited,EQ,02-NOV-2011
INDOUS,Indo Us Biotech Limited,EQ,27-SEP-2024
INDPRUD,Industrial & Prudential Investment Company Limited,EQ,20-APR-2026
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-JUL-1997
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012
INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019
INFOMEDIA,Infomedia Press Limited,EQ,12-OCT-2006
INFY,Infosys Limited,EQ,08-FEB-1995
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999
INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023
INNOVANA,Innovana Thinklabs Limited,EQ,17-DEC-2024
INNOVISION,Innovision Limited,EQ,23-MAR-2026
INOXGREEN,Inox Green Energy Services Limited,EQ,23-NOV-2022
INOXINDIA,INOX India Limited,EQ,21-DEC-2023
INOXWIND,Inox Wind Limited,EQ,09-APR-2015
INSECTICID,Insecticides (India) Limited,EQ,30-MAY-2007
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014
INTENTECH,Intense Technologies Limited,EQ,23-MAR-2017
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024
INTLCONV,International Conveyors Limited,EQ,16-SEP-2021
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011
IOB,Indian Overseas Bank,EQ,07-DEC-2000
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010
IONEXCHANG,ION Exchange (India) Limited,EQ,22-FEB-2022
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995
IPL,India Pesticides Limited,EQ,05-JUL-2021
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008
IRCON,Ircon International Limited,EQ,28-SEP-2018
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021
IRIS,IRIS RegTech Solutions Limited,EQ,08-NOV-2021
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021
IRMENERGY,IRM Energy Limited,EQ,26-OCT-2023
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021
ISHANCH,Ishan Dyes and Chemicals Limited,EQ,24-MAR-2025
ITC,ITC Limited,EQ,23-AUG-1995
ITCHOTELS,ITC Hotels Limited,EQ,29-JAN-2025
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016
ITI,ITI Limited,EQ,15-SEP-2003
IVALUE,Ivalue Infosolutions Limited,EQ,25-SEP-2025
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999
IWP,The Indian Wood Products Company Limited,EQ,20-APR-2026
IXIGO,Le Travenues Technology Limited,EQ,18-JUN-2024
IZMO,IZMO Limited,EQ,05-FEB-2007
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997
JAINREC,Jain Resource Recycling Limited,EQ,01-OCT-2025
JAIPURKURT,Nandani Creation Limited,EQ,02-SEP-2021
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025
JASH,Jash Engineering Limited,EQ,30-OCT-2019
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-APR-1996
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996
JAYKAY,Jaykay Enterprises Limited,EQ,03-DEC-2025
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-FEB-1995
JBMA,JBM Auto Limited,EQ,17-DEC-2004
JETFREIGHT,Jet Freight Logistics Limited,EQ,21-DEC-2021
JGCHEM,J.G.Chemicals Limited,EQ,13-MAR-2024
JHS,JHS Svendgaard Laboratories Limited,EQ,21-OCT-2006
JINDALPHOT,Jindal Photo Limited,EQ,07-APR-2005
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003
JINDALSTEL,JINDAL STEEL LIMITED,EQ,29-DEC-1999
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001
JITFINFRA,JITF Infralogistics Limited,EQ,27-FEB-2017
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006
JKPAPER,JK Paper Limited,EQ,16-JUN-2005
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-MAR-2015
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006
JNKINDIA,JNK India Limited,EQ,30-APR-2024
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-APR-2005
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024
JSL,Jindal Stainless Limited,EQ,17-NOV-2003
JSLL,Jeena Sikho Lifecare Limited,EQ,11-AUG-2025
JSWCEMENT,JSW Cement Limited,EQ,14-AUG-2025
JSWDULUX,JSW Dulux Limited,EQ,28-JUN-2001
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005
JTEKTINDIA,Jtekt India Limited,EQ,12-JAN-2004
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003
JUNIPER,Juniper Hotels Limited,EQ,28-FEB-2024
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-JAN-2024
JYOTISTRUC,Jyoti Structures Limited,EQ,19-JUL-1995
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023
KALPATARU,Kalpataru Limited,EQ,01-JUL-2025
KALYANIFRG,Kalyani Forge Limited,EQ,20-DEC-2007
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021
KAMAHOLD,Kama Holdings Limited,EQ,20-APR-2026
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996
KAMOPAINTS,Kamdhenu Ventures Limited,EQ,24-JAN-2023
KANANIIND,Kanani Industries Limited,EQ,14-DEC-2011
KANPRPLA,Kanpur Plastipack Limited,EQ,01-JAN-2021
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003
KAPSTON,Kapston Services Limited,EQ,27-MAY-2020
KARMAENG,Karma Energy Limited,EQ,28-JUN-2011
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ,29-JAN-2008
KAYA,Kaya Limited,EQ,14-AUG-2015
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022
KCP,KCP Limited,EQ,09-APR-1997
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997
KDDL,KDDL Limited,EQ,23-MAR-2016
KEC,KEC International Limited,EQ,10-MAR-2006
KECL,Kirloskar Electric Company Limited,EQ,09-MAR-2010
KEEPLEARN,DSJ Keep Learning Limited,EQ,01-MAR-1995
KEI,KEI Industries Limited,EQ,23-MAR-2006
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016
KENNAMET,Kennametal India Limited,EQ,20-APR-2026
KERNEX,Kernex Microsystems (India) Limited,EQ,20-DEC-2005
KEYFINSERV,Keynote Financial Services Limited,EQ,26-JUN-1996
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016
KIOCL,KIOCL Limited,EQ,29-NOV-2016
KIRANVYPAR,Kiran Vyapar Limited,EQ,20-APR-2026
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008
KIRLFER,Kirloskar Ferrous Industries Limited,EQ,20-APR-2026
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023
KISSHT,OnEMI Technology Solutions Limited,EQ,08-MAY-2026
KITEX,Kitex Garments Limited,EQ,25-SEP-2012
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006
KLBRENG-B,Kilburn Engineering Limited,EQ,20-APR-2026
KMEW,Knowledge Marine & Engineering Works Limited,EQ,14-NOV-2024
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-MAY-2007
KNACK,Knack Packaging Limited,EQ,08-JUL-2026
KNAGRI,KN Agri Resources Limited,EQ,09-DEC-2025
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,28-JUL-2008
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996
KOTHARIPRO,Kothari Products Limited,EQ,03-JUN-1998
KOTIC,Kothari Industrial Corporation Limited,EQ,20-APR-2026
KOVAI,Kovai Medical Center & Hospital Limited,EQ,20-APR-2026
KPEL,K.P. Energy Limited,EQ,14-NOV-2024
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019
KPL,Kwality Pharmaceuticals Limited,EQ,20-APR-2026
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007
KRBL,KRBL Limited,EQ,21-JAN-2002
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,03-JAN-1996
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019
KRISHIVAL,Krishival Foods Limited,EQ,20-JUN-2025
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,30-DEC-2025
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022
KRONOX,Kronox Lab Sciences Limited,EQ,10-JUN-2024
KROSS,Kross Limited,EQ,16-SEP-2024
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021
KRYSTAL,Krystal Integrated Services Limited,EQ,21-MAR-2024
KSB,Ksb Limited,EQ,08-FEB-1995
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007
KSHINTL,KSH International Limited,EQ,23-DEC-2025
KSL,Kalyani Steels Limited,EQ,19-MAY-2010
KSOLVES,Ksolves India Limited,EQ,23-SEP-2022
KSR,KSR Footwear Limited,EQ,27-NOV-2025
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019
KUSUMGAR,Kusumgar Limited,EQ,15-JUL-2026
KWIL,Kwality Wall's (India) Limited,EQ,16-FEB-2026
LAGNAM,Lagnam Spintex Limited,EQ,30-SEP-2021
LAHOTIOV,Lahoti Overseas Limited,EQ,20-APR-2026
LAL,Lorenzini Apparels Limited,EQ,10-APR-2023
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015
LAMBODHARA,Lambodhara Textiles Limited,EQ,04-FEB-2015
LANCORHOL,Lancor Holdings Limited,EQ,12-MAR-2024
LANDMARK,Landmark Cars Limited,EQ,23-DEC-2022
LANDSMILL,Landsmill Green Limited,EQ,03-AUG-2009
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007
LASA,Lasa Supergenerics Limited,EQ,21-SEP-2017
LASERPOWER,Laser Power & Infra Limited,EQ,16-JUL-2026
LATENTVIEW,Latent View Analytics Limited,EQ,23-NOV-2021
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016
LAXMICOT,Laxmi Cotspin Limited,EQ,12-NOV-2021
LAXMIDENTL,Laxmi Dental Limited,EQ,20-JAN-2025
LCCINFOTEC,LCC Infotech Limited,EQ,02-MAR-2000
LEMERITE,Le Merite Exports Limited,EQ,12-DEC-2025
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018
LENSKART,Lenskart Solutions Limited,EQ,10-NOV-2025
LEXUS,Lexus Granito (India) Limited,EQ,13-MAR-2023
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010
LGEINDIA,LG Electronics India Limited,EQ,14-OCT-2025
LGHL,Laxmi Goldorna House Limited,EQ,10-NOV-2023
LIBAS,Libas Consumer Products Limited,EQ,23-JUL-2019
LIBERTSHOE,Liberty Shoes Limited,EQ,27-SEP-1995
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-OCT-2020
LINC,Linc Limited,EQ,09-MAR-2015
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-JUL-2016
LLOYDSENT,Lloyds Enterprises Limited,EQ,17-OCT-2024
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023
LMW,LMW Limited,EQ,29-MAR-1995
LODHA,Lodha Developers Limited,EQ,19-APR-2021
LORDSCHLO,Lords Chloro Alkali Limited,EQ,28-AUG-2023
LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ,06-AUG-2025
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008
LOVABLE,Lovable Lingerie Limited,EQ,24-MAR-2011
LOYALTEX,Loyal Textile Mills Limited,EQ,11-AUG-2022
LPDC,Landmark Property Development Company Limited,EQ,12-AUG-2008
LT,Larsen & Toubro Limited,EQ,23-JUN-2004
LTF,L&T Finance Limited,EQ,12-AUG-2011
LTFOODS,LT Foods Limited,EQ,18-DEC-2006
LTM,LTM Limited,EQ,21-JUL-2016
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016
LUMAXIND,Lumax Industries Limited,EQ,06-SEP-1995
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007
LUPIN,Lupin Limited,EQ,10-SEP-2001
LUXIND,Lux Industries Limited,EQ,30-NOV-2015
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006
MAANALU,Maan Aluminium Limited,EQ,22-OCT-2007
MACPOWER,Macpower CNC Machines Limited,EQ,19-AUG-2020
MADHAV,Madhav Marbles and Granites Limited,EQ,20-DEC-2007
MADHAVIPL,Madhav Infra Projects Limited,EQ,20-APR-2026
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997
MAFATIND,Mafatlal Industries Limited,EQ,20-APR-2026
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-JUL-2017
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,01-JUL-2016
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000
MAHLOG,Mahindra Logistics Limited,EQ,10-NOV-2017
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-FEB-1995
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011
MAJESAUT,Majestic Auto Limited,EQ,20-APR-2026
MALLCOM,Mallcom (India) Limited,EQ,02-FEB-2022
MALUPAPER,Malu Paper Mills Limited,EQ,05-APR-2006
MAMATA,Mamata Machinery Limited,EQ,27-DEC-2024
MANAKALUCO,Manaksia Aluminium Company Limited,EQ,30-MAR-2015
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-MAR-2015
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008
MANAKSTEEL,Manaksia Steels Limited,EQ,30-MAR-2015
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014
MANBA,Manba Finance Limited,EQ,30-SEP-2024
MANCREDIT,Mangal Credit and Fincorp Limited,EQ,16-AUG-2024
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996
MANINDS,Man Industries (India) Limited,EQ,24-JUN-2005
MANINFRA,Man Infraconstruction Limited,EQ,11-MAR-2010
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023
MANOMAY,Manomay Tex India Limited,EQ,18-JAN-2023
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016
MARICO,Marico Limited,EQ,01-MAY-1996
MARINE,Marine Electricals (India) Limited,EQ,02-DEC-2020
MARKOLINES,Markolines Pavement Technologies Limited,EQ,14-OCT-2025
MARKSANS,Marksans Pharma Limited,EQ,21-JAN-2002
MARSONS,Marsons Limited,EQ,13-MAR-2026
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003
MASFIN,MAS Financial Services Limited,EQ,18-OCT-2017
MASTEK,Mastek Limited,EQ,10-MAY-1995
MASTERTR,Master Trust Limited,EQ,12-NOV-2024
MATRIMONY,Matrimony.Com Limited,EQ,21-SEP-2017
MAXESTATES,Max Estates Limited,EQ,30-OCT-2023
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020
MAXIND,Max India Limited,EQ,28-AUG-2020
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020
MBAPL,Madhya Bharat Agro Products Limited,EQ,22-AUG-2019
MBEL,M & B Engineering Limited,EQ,06-AUG-2025
MCCHRLS-B,Mac Charles India Limited,EQ,20-APR-2026
MCL,M TEK COPPER LIMITED,EQ,19-AUG-2020
MCLOUD,Magellanic Cloud Limited,EQ,07-FEB-2025
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012
MEDANTA,Global Health Limited,EQ,16-NOV-2022
MEDIASSIST,Medi Assist Healthcare Services Limited,EQ,23-JAN-2024
MEDICAMEQ,Medicamen Biotech Limited,EQ,27-OCT-2021
MEDICO,Medico Remedies Limited,EQ,26-MAY-2022
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021
MEESHO,Meesho Limited,EQ,10-DEC-2025
MEGASTAR,Megastar Foods Limited,EQ,16-FEB-2022
MEIL,Mangal Electrical Industries Limited,EQ,28-AUG-2025
MENNPIS,Menon Pistons Limited,EQ,20-APR-2026
MERCANTILE,Mercantile Ventures Limited,EQ,20-APR-2026
MERCURYEV,Mercury Ev-Tech Limited,EQ,02-JUN-2026
METROBRAND,Metro Brands Limited,EQ,22-DEC-2021
METROGLOBL,Metroglobal Limited,EQ,20-APR-2026
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019
MFML,Mahalaxmi Fabric Mills Limited,EQ,27-AUG-2024
MFSL,Max Financial Services Limited,EQ,17-MAY-2000
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016
MHLXMIRU,Mahalaxmi Rubtech Limited,EQ,27-JAN-2022
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009
MIDHANI,Mishra Dhatu Nigam Limited,EQ,04-APR-2018
MIDWESTLTD,Midwest Limited,EQ,24-OCT-2025
MINDACORP,Minda Corporation Limited,EQ,16-OCT-2014
MINDTECK,Mindteck (India) Limited,EQ,02-AUG-2016
MIRZAINT,Mirza International Limited,EQ,28-APR-1999
MITTAL,Mittal Life Style Limited,EQ,29-APR-2020
MKPL,M K Proteins Limited,EQ,13-JUN-2023
MMFL,MM Forgings Limited,EQ,20-DEC-2006
MMP,MMP Industries Limited,EQ,09-JAN-2020
MMTC,MMTC Limited,EQ,09-APR-2012
MOBIKWIK,One Mobikwik Systems Limited,EQ,18-DEC-2024
MODIRUBBER,Modi Rubber Limited,EQ,07-FEB-1996
MODIS,Modis Navnirman Limited,EQ,14-NOV-2025
MODTHREAD,Modern Threads (India) Limited,EQ,22-NOV-1995
MOHITIND,Mohit Industries Limited,EQ,14-MAR-2013
MOIL,MOIL Limited,EQ,15-DEC-2010
MOKSH,Moksh Ornaments Limited,EQ,21-MAY-2021
MOL,Meghmani Organics Limited,EQ,18-AUG-2021
MOLDTECH,Mold-Tek Technologies Limited,EQ,07-JUL-2016
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-FEB-2015
MONARCH,Monarch Networth Capital Limited,EQ,06-JAN-2022
MONEYBOXX,Moneyboxx Finance Limited,EQ,15-OCT-2025
MONTECARLO,Monte Carlo Fashions Limited,EQ,19-DEC-2014
MOREPENLAB,Morepen Laboratories Limited,EQ,24-NOV-1999
MOSCHIP,Moschip Technologies Limited,EQ,05-FEB-2025
MOTHERSON,Samvardhana Motherson International Limited,EQ,14-AUG-1996
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007
MOTISONS,Motisons Jewellers Limited,EQ,26-DEC-2023
MPHASIS,MphasiS Limited,EQ,04-JUN-2004
MPSLTD,MPS Limited,EQ,21-JAN-2002
MRF,MRF Limited,EQ,18-SEP-1996
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005
MSPL,MSP Steel & Power Limited,EQ,18-JUL-2005
MSTCLTD,Mstc Limited,EQ,29-MAR-2019
MSUMI,Motherson Sumi Wiring India Limited,EQ,28-MAR-2022
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999
MUFIN,Mufin Green Finance Limited,EQ,06-NOV-2023
MUFTI,Credo Brands Marketing Limited,EQ,27-DEC-2023
MUKANDLTD,Mukand Limited,EQ,23-FEB-2004
MUKKA,Mukka Proteins Limited,EQ,07-MAR-2024
MUNJALAU,Munjal Auto Industries Limited,EQ,19-JUL-2006
MUNJALSHOW,Munjal Showa Limited,EQ,12-MAY-2003
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-MAY-2004
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-AUG-2015
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011
MUTHOOTMF,Muthoot Microfin Limited,EQ,26-DEC-2023
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,EQ,03-OCT-2023
MWL,Mangalam Worldwide Limited,EQ,18-SEP-2025
NACLIND,NACL Industries Limited,EQ,07-APR-2017
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-SEP-2007
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-JUN-2007
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-MAR-2008
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-DEC-2005
NAHARPOLY,Nahar Poly Films Limited,EQ,23-MAR-2007
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017
NARMADA,Narmada Agrobase Limited,EQ,27-OCT-2022
NATCAPSUQ,Natural Capsules Limited,EQ,14-FEB-2025
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-JAN-2014
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999
NATIONSTD,National Standard (India) Limited,EQ,20-APR-2026
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006
NAVA,NAVA LIMITED,EQ,03-APR-1996
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007
NAVKARCORP,Navkar Corporation Limited,EQ,09-SEP-2015
NAVNETEDUL,Navneet Education Limited,EQ,08-FEB-1995
NAZARA,Nazara Technologies Limited,EQ,30-MAR-2021
NBCC,NBCC (India) Limited,EQ,12-APR-2012
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-NOV-2016
NCC,NCC Limited,EQ,14-OCT-2003
NCLIND,NCL Industries Limited,EQ,03-APR-2007
NDGL,Naga Dhunseri Group Limited,EQ,29-AUG-2016
NDL,Nandan Denim Limited,EQ,23-MAR-2012
NDLVENTURE,NDL Ventures Limited,EQ,24-APR-2007
